school,major,risk_level,source_present,official_source_type,required_recommended_mixed,numeric_score_suspect,gpa_suspect,credit_suspect,same_requirements_as_other_majors,needs_official_check,notes
New York University,Aerospace Engineering,verified,true,official_site,false,false,false,false,false,false,None
New York University,Business Administration,verified,true,official_site,false,false,false,false,false,false,None
New York University,Finance,verified,true,official_site,false,false,false,false,false,false,None
New York University,Accounting,verified,true,official_site,false,false,false,false,false,false,None
New York University,Marketing,verified,true,official_site,false,false,false,false,false,false,None
New York University,Management,verified,true,official_site,false,false,false,false,false,false,None
New York University,Economics,verified,true,official_site,false,false,false,false,false,false,None
New York University,Psychology,verified,true,official_site,false,false,false,false,false,false,None
New York University,Political Science,verified,true,official_site,false,false,false,false,false,false,None
New York University,Sociology,verified,true,official_site,false,false,false,false,false,false,None
New York University,History,verified,true,official_site,false,false,false,false,false,false,None
New York University,English,verified,true,official_site,false,false,false,false,false,false,None
New York University,Communications,verified,true,official_site,false,false,false,false,false,false,None
New York University,Biology,verified,true,official_site,false,false,false,false,false,false,None
New York University,Biochemistry,verified,true,official_site,false,false,false,false,false,false,None
New York University,Chemistry,verified,true,official_site,false,false,false,false,false,false,None
New York University,Physics,verified,true,official_site,false,false,false,false,false,false,None
New York University,Mathematics,verified,true,official_site,false,false,false,false,false,false,None
New York University,Statistics,verified,true,official_site,false,false,false,false,false,false,None
New York University,Public Health,verified,true,official_site,false,false,false,false,false,false,None
New York University,Nursing,verified,true,official_site,false,false,false,false,false,false,None
New York University,International Relations,verified,true,official_site,false,false,false,false,false,false,None
New York University,Philosophy,verified,true,official_site,false,false,false,false,false,false,None
New York University,"Applied Physics, B.S.",verified,true,official_site,false,false,false,false,false,false,None
New York University,"Biomolecular Science, B.S.",verified,true,official_site,false,false,false,false,false,false,None
New York University,"Business & Technology Management, B.S.",verified,true,official_site,false,false,false,false,false,false,None
New York University,"Chemical & Biomolecular Engineering, B.S.",verified,true,official_site,false,false,false,false,false,false,None
New York University,"Civil Engineering, B.S.",verified,true,official_site,false,false,false,false,false,false,None
New York University,"Computer Engineering, B.S.",verified,true,official_site,false,false,false,false,false,false,None
New York University,"Computer Science, B.S.",verified,true,official_site,false,false,false,false,false,false,None
New York University,"Electrical Engineering, B.S.",verified,true,official_site,false,false,false,false,false,false,None
New York University,"Electrical & Computer Engineering, B.S.",verified,true,official_site,false,false,false,false,false,false,None
New York University,"Environmental Engineering, B.S.",verified,true,official_site,false,false,false,false,false,false,None
New York University,"Integrated Design & Media, B.S.",verified,true,official_site,false,false,false,false,false,false,None
